                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                 1.0943,                0.66026,                 1.2475,                0.92243,                0.91779,                0.96397,                0.70356,                0.95693,                0.51856,                 1.2141,             0.00063554,             0.00063554,             0.00063554
                    128,                 1.1114,                0.69244,                 1.2398,                0.90876,                0.92704,                0.96355,                0.70235,                0.96599,                0.52638,                 1.2175,             0.00062729,             0.00062729,             0.00062729
                    129,                 1.1174,                0.67077,                 1.2304,                0.91643,                 0.9406,                0.96693,                0.71639,                0.92036,                0.50118,                 1.1884,             0.00061904,             0.00061904,             0.00061904
                    130,                 1.0849,                0.67015,                  1.219,                0.90257,                0.93319,                0.96243,                0.71493,                0.92534,                0.50468,                 1.1969,             0.00061079,             0.00061079,             0.00061079
                    131,                 1.0791,                0.67464,                 1.2079,                0.91301,                 0.9308,                0.96677,                 0.7199,                0.90685,                0.49749,                 1.1832,             0.00060254,             0.00060254,             0.00060254
                    132,                 1.0953,                0.66412,                 1.2241,                0.92161,                0.93097,                0.96803,                0.72296,                0.90617,                0.49714,                 1.1819,             0.00059429,             0.00059429,             0.00059429
                    133,                 1.0939,                0.66363,                 1.2192,                0.90964,                0.93662,                0.96537,                0.71248,                0.91752,                 0.5183,                  1.186,             0.00058603,             0.00058603,             0.00058603
                    134,                 1.0817,                0.66504,                 1.2172,                0.91295,                0.93846,                0.96286,                0.71124,                 0.9231,                0.50623,                 1.1866,             0.00057778,             0.00057778,             0.00057778
                    135,                 1.0838,                0.65578,                 1.2174,                0.89755,                0.91094,                0.95989,                 0.7207,                0.89426,                0.51688,                 1.1731,             0.00056953,             0.00056953,             0.00056953
                    136,                 1.0858,                0.65636,                 1.2183,                0.90376,                0.93468,                0.96346,                 0.7201,                 0.9038,                0.50137,                 1.1801,             0.00056128,             0.00056128,             0.00056128
                    137,                 1.0751,                0.65634,                 1.2223,                0.92497,                0.92711,                0.96615,                0.72079,                0.90906,                0.50376,                 1.1764,             0.00055303,             0.00055303,             0.00055303
                    138,                 1.0878,                0.64985,                 1.2226,                0.92351,                0.94387,                 0.9708,                0.72669,                0.89849,                 0.4863,                 1.1783,             0.00054478,             0.00054478,             0.00054478
                    139,                 1.0732,                0.66491,                 1.2036,                0.93187,                0.93204,                0.96919,                0.73219,                0.88504,                0.48519,                 1.1621,             0.00053652,             0.00053652,             0.00053652
                    140,                 1.0957,                0.66824,                 1.2161,                0.92405,                0.93672,                0.97278,                  0.737,                0.87438,                0.48883,                 1.1567,             0.00052827,             0.00052827,             0.00052827
                    141,                 1.0674,                0.65055,                 1.2024,                0.91976,                0.93263,                0.97025,                  0.726,                0.89996,                0.49313,                 1.1695,             0.00052002,             0.00052002,             0.00052002
                    142,                 1.0442,                0.63602,                 1.1823,                0.92725,                0.93427,                0.97413,                0.73975,                0.87748,                0.47602,                 1.1602,             0.00051177,             0.00051177,             0.00051177
                    143,                 1.0644,                0.63272,                 1.2028,                0.92641,                 0.9374,                0.97131,                0.72611,                0.88552,                0.48353,                 1.1704,             0.00050352,             0.00050352,             0.00050352
                    144,                 1.0678,                0.63933,                  1.188,                0.92753,                0.94004,                0.97428,                 0.7397,                0.87181,                0.46997,                 1.1555,             0.00049527,             0.00049527,             0.00049527
                    145,                 1.0647,                0.64943,                 1.1882,                0.92811,                 0.9386,                0.97375,                0.73645,                0.87533,                0.46975,                 1.1592,             0.00048701,             0.00048701,             0.00048701
                    146,                 1.0522,                0.63979,                  1.188,                0.93596,                0.93739,                0.97414,                0.73449,                0.87563,                0.47062,                 1.1558,             0.00047876,             0.00047876,             0.00047876
                    147,                 1.0509,                0.64281,                 1.2016,                0.91464,                 0.9565,                0.97562,                0.74443,                0.85846,                0.46508,                 1.1429,             0.00047051,             0.00047051,             0.00047051
